RunId,iteration,Step,estrategia,avances,rescatistas,rng,Rescatados,Perdidas,Danio,Fuegos,Paredes,Puertas,Rescatando,Pasos,Avances,Estado,gano,motivo
283,94,8.0,mejorada,1,3,2780958171820188827,2,1,24,10,16,7,2,8,1,perdido,0,colapso
661,220,8.0,mejorada,1,3,2775761748300347022,2,4,13,8,9,6,3,8,1,perdido,0,victimas
662,220,8.0,mejorada,1,4,2775761748300347022,1,4,17,11,13,7,1,8,1,perdido,0,victimas
744,248,8.0,mejorada,1,2,3451238642599062930,0,4,10,5,10,6,2,8,1,perdido,0,victimas
748,249,8.0,mejorada,1,3,3928068926454801528,2,4,11,13,9,7,3,8,1,perdido,0,victimas
750,250,8.0,mejorada,1,2,6013002391292390018,1,4,17,15,11,7,1,8,1,perdido,0,victimas
833,277,8.0,mejorada,1,4,4653433186410401850,2,1,26,23,17,8,3,8,1,perdido,0,colapso
260,86,8.0,mejorada,1,4,6662589034851875519,4,3,25,20,16,7,1,8,1,perdido,0,colapso
261,87,8.0,mejorada,1,2,4260065529960581386,0,3,25,10,15,8,1,8,1,perdido,0,colapso
503,167,8.0,mejorada,1,4,7454804026184590417,1,0,24,13,18,7,0,8,1,perdido,0,colapso
505,168,8.0,mejorada,1,3,2925089995860117194,3,4,23,8,16,5,3,8,1,perdido,0,victimas
608,202,8.0,mejorada,1,4,4618522254520175249,1,1,24,13,16,5,2,8,1,perdido,0,colapso
827,275,8.0,mejorada,1,4,3630600148398900764,1,4,10,7,7,7,4,8,1,perdido,0,victimas
607,202,8.0,mejorada,1,3,4618522254520175249,1,2,24,12,16,5,3,8,1,perdido,0,colapso
129,43,8.0,mejorada,1,2,2881073745369361439,2,2,26,13,17,6,0,8,1,perdido,0,colapso
822,274,8.0,mejorada,1,2,6278483331563398250,0,2,25,17,15,8,0,8,1,perdido,0,colapso
758,252,8.0,mejorada,1,4,4186459809758113773,3,4,16,14,12,7,0,8,1,perdido,0,victimas
246,82,8.0,mejorada,1,2,7508012853358472210,1,4,10,12,8,6,2,8,1,perdido,0,victimas
247,82,8.0,mejorada,1,3,7508012853358472210,7,1,11,2,7,8,3,8,1,ganado,1,victoria
820,273,8.0,mejorada,1,3,5452339343277554439,1,4,18,5,13,6,3,8,1,perdido,0,victimas
237,79,8.0,mejorada,1,2,7230184821612632325,0,4,14,7,12,8,1,8,1,perdido,0,victimas
766,255,8.0,mejorada,1,3,6880767251491745953,2,4,17,13,11,8,1,8,1,perdido,0,victimas
489,163,8.0,mejorada,1,2,345069924462636029,0,3,25,14,16,8,0,8,1,perdido,0,colapso
223,74,8.0,mejorada,1,3,537747877366898908,2,4,18,14,13,6,0,8,1,perdido,0,victimas
643,214,8.0,mejorada,1,3,6598466114264925483,4,4,8,9,5,7,3,8,1,perdido,0,victimas
772,257,8.0,mejorada,1,3,971018897820300926,1,3,26,18,17,6,0,8,1,perdido,0,colapso
148,49,8.0,mejorada,1,3,1288989149403113816,2,4,17,14,13,7,3,8,1,perdido,0,victimas
806,268,8.0,mejorada,1,4,1065207823745613756,1,3,24,17,15,7,0,8,1,perdido,0,colapso
156,52,8.0,mejorada,1,2,7258096298572574743,1,4,14,9,10,7,2,8,1,perdido,0,victimas
215,71,8.0,mejorada,1,4,3768011668784017290,1,1,25,15,16,7,1,8,1,perdido,0,colapso
625,208,8.0,mejorada,1,3,1123706516370774243,1,4,14,12,10,7,2,8,1,perdido,0,victimas
798,266,8.0,mejorada,1,2,2626079245766705074,0,6,13,16,11,7,2,8,1,perdido,0,victimas
638,212,8.0,mejorada,1,4,1842605159165816250,1,4,25,8,16,8,3,8,1,perdido,0,victimas
624,208,8.0,mejorada,1,2,1123706516370774243,1,4,14,13,11,7,2,8,1,perdido,0,victimas
461,153,8.0,mejorada,1,4,5110081473724927983,5,0,24,17,17,7,2,8,1,perdido,0,colapso
357,119,8.0,mejorada,1,2,5785902819806701605,1,4,11,7,10,8,2,8,1,perdido,0,victimas
566,188,8.0,mejorada,1,4,6887918418730252866,1,4,13,10,9,7,2,8,1,perdido,0,victimas
6,2,8.0,mejorada,1,2,7919168045412322065,1,3,24,13,13,8,1,8,1,perdido,0,colapso
5,1,8.0,mejorada,1,4,4047939128787533792,0,4,17,16,12,6,1,8,1,perdido,0,victimas
4,1,8.0,mejorada,1,3,4047939128787533792,0,4,17,10,12,6,1,8,1,perdido,0,victimas
898,299,8.0,mejorada,1,3,5925862281964184321,3,4,18,12,13,7,1,8,1,perdido,0,victimas
7,2,9.0,mejorada,1,3,7919168045412322065,7,1,14,10,10,7,3,9,1,ganado,1,victoria
11,3,9.0,mejorada,1,4,6432084778622665797,0,2,24,12,17,7,0,9,1,perdido,0,colapso
893,297,9.0,mejorada,1,4,7397383076949300129,0,3,26,12,24,7,0,9,1,perdido,0,colapso
188,62,9.0,mejorada,1,4,5213382898739266301,4,0,26,17,17,7,1,9,1,perdido,0,colapso
451,150,9.0,mejorada,1,3,7621197827893166670,1,2,27,11,17,7,0,9,1,perdido,0,colapso
453,151,9.0,mejorada,1,2,8265624203513098004,1,0,24,6,18,8,2,9,1,perdido,0,colapso
454,151,9.0,mejorada,1,3,8265624203513098004,3,3,25,9,18,7,1,9,1,perdido,0,colapso
178,59,9.0,mejorada,1,3,1056353477630618950,1,3,24,4,18,6,2,9,1,perdido,0,colapso
179,59,9.0,mejorada,1,4,1056353477630618950,1,3,24,4,18,6,2,9,1,perdido,0,colapso
